Pos Ch,Pos Lib,Equipo,Temporadas,Títulos,PJ,PG,PE,PP,GF,GC,DIF,Puntos
1.0,11.0,Colo-Colo,36,1,253,98,58,97,348,352,-4,297
2.0,14.0,Universidad Católica,29,0,236,88,59,89,348,343,5,279
3.0,31.0,Universidad de Chile,25,0,163,57,37,69,201,239,-38,188
4.0,45.0,Cobreloa,13,0,105,39,32,34,134,122,12,123
5.0,48.0,Unión Española,13,0,95,33,29,33,115,128,-13,108
6.0,67.0,Palestino,6,0,44,14,12,18,59,52,7,47
7.0,98.0,Audax Italiano,3,0,16,7,3,6,19,21,-2,24
8.0,99.0,Santiago Wanderers,3,0,22,7,7,8,29,34,-5,24
9.0,106.0,O'Higgins,4,0,28,5,10,13,27,37,-10,21
10.0,118.0,Everton,3,0,16,5,3,8,17,21,-4,16
11.0,126.0,Deportes Iquique,2,0,14,4,3,7,19,24,-5,15
12.0,131.0,Huachipato,2,0,12,4,4,4,20,18,2,14
13.0,135.0,Deportes Concepción,2,0,16,4,4,8,18,26,-8,14
14.0,143.0,Magallanes,2,0,10,4,2,4,12,12,0,12
15.0,153.0,Cobresal,2,0,12,2,5,5,10,19,-9,10
16.0,162.0,Universidad de Concepción,3,0,14,1,5,8,16,33,-17,8
17.0,184.0,Ñublense,1,0,6,1,2,3,3,10,-7,5
18.0,190.0,Unión San Felipe,1,0,6,1,2,3,5,8,-3,4
19.0,205.0,Coquimbo Unido,1,0,8,1,1,6,6,18,-12,3
20.0,206.0,Rangers,1,0,10,1,1,8,11,27,-16,3
21.0,213.0,Unión La Calera,1,0,6,0,2,4,8,17,-9,2
22.0,227.0,Curicó Unido,1,0,2,0,0,2,0,2,-2,0
