Torneo,Pos.,PJ,PG,PE,PP,GF,GC,Dif,Ptos.,Ref.
Copa de Campeones de América 1961,Primera fase,2,1,0,1,4,6,-2,2,[1]​
Copa de Campeones de América 1964,Semifinales,6,3,0,3,13,15,-2,6,[2]​
Copa Libertadores 1967,Semifinales,18,8,2,8,33,38,-5,18,[3]​
Copa Libertadores 1971,Primera fase,6,2,2,2,6,7,-1,6,[4]​
Copa Libertadores 1973,Subcampeón,13,5,5,3,28,16,12,15,[5]​
Copa Libertadores 1974,Primera fase,6,0,0,6,3,13,-10,0,[6]​
Copa Libertadores 1980,Primera fase,6,2,2,2,11,11,0,6,[7]​
Copa Libertadores 1982,Primera fase,6,3,2,1,8,5,3,8,[8]​
Copa Libertadores 1983,Primera fase,6,3,0,3,5,8,-3,6,[9]​
Copa Libertadores 1985,Primera fase,6,3,0,3,10,8,2,6,[10]​
Copa Libertadores 1987,Primera fase,6,2,3,1,6,4,2,7,[11]​
Copa Libertadores 1988,Segunda fase,8,4,2,2,8,5,3,10,[12]​
Copa Libertadores 1989,Primera fase,6,2,1,3,7,8,-1,5,[13]​
Copa Libertadores 1990,Octavos de final,8,3,4,1,12,8,4,10,[14]​
Copa Libertadores 1991,Campeón,14,7,5,2,22,8,14,19,[15]​
Copa Libertadores 1992,Octavos de final,10,3,4,3,7,9,-2,10,[16]​
Copa Libertadores 1994,Octavos de final,8,4,3,1,14,9,5,11,[17]​
Copa Libertadores 1997,Semifinales,12,8,1,3,23,13,10,25,[18]​
Copa Libertadores 1998,Octavos de final,8,2,2,4,11,14,-3,8,[19]​
Copa Libertadores 1999,Octavos de final,8,3,2,3,6,9,-3,11,[20]​
Copa Libertadores 2003,Primera fase,6,1,2,3,6,10,-4,5,[21]​
Copa Libertadores 2004,Primera fase,6,2,0,4,6,10,-4,6,[22]​
Copa Libertadores 2005,Fase preliminar,2,0,2,0,2,2,0,2,[23]​
Copa Libertadores 2006,Fase preliminar,2,0,0,2,4,8,-4,0,[24]​
Copa Libertadores 2007,Octavos de final,8,4,0,4,14,11,3,12,[25]​
Copa Libertadores 2008,Primera fase,6,3,1,2,11,9,2,10,[26]​
Copa Libertadores 2009,Primera fase,6,2,1,3,9,7,2,7,[27]​
Copa Libertadores 2010,Primera fase,6,2,2,2,8,10,-2,8,[28]​
Copa Libertadores 2011,Primera fase,6,3,0,3,15,16,-1,9,[29]​
Copa Libertadores 2015,Primera fase,6,3,0,3,8,9,-1,9,[30]​
Copa Libertadores 2016,Primera fase,6,2,3,1,4,5,-1,9,[31]​
Copa Libertadores 2017,Primera fase,2,0,1,1,2,3,-1,1,[32]​
Copa Libertadores 2018,Cuartos de final,10,3,2,5,7,11,-4,11,[33]​
Copa Libertadores 2020,Primera fase,6,2,0,4,3,9,-6,6,[34]​
Copa Libertadores 2022,Primera fase,6,2,1,3,9,13,-4,7,[35]​
Copa Libertadores 2023,Primera fase,6,1,3,2,3,5,-2,6,
Copa Libertadores 2024,Por disputarse,Por disputarse,Por disputarse,Por disputarse,Por disputarse,Por disputarse,Por disputarse,Por disputarse,Por disputarse,Por disputarse
