Torneo,Pos.,PJ,PG,PE,PP,GF,GC,Dif,Ptos.,Rendimiento
Copa de Campeones de América 1960,Cuarto finalista[3]​,2,0,0,2,0,7,-7,0,0%
Copa de Campeones de América 1963,Primera fase[4]​,4,1,0,3,7,7,0,2,25%
Copa Libertadores 1965,Primera fase[5]​,4,1,0,3,6,9,-3,2,25%
Copa Libertadores 1966,Primera fase[6]​,6,1,3,2,6,7,-1,5,"41,67%"
Copa Libertadores 1968,Primera fase[7]​,6,1,1,4,6,10,-4,3,25%
Copa Libertadores 1970,Semifinal[8]​,16,8,4,4,27,18,9,20,"62,50%"
Copa Libertadores 1972,Primera fase[9]​,6,3,0,3,12,12,0,6,50%
Copa Libertadores 1977,Primera fase[10]​,6,3,0,3,3,6,-3,6,50%
Copa Libertadores 1981,Primera fase[11]​,6,2,2,2,8,6,2,6,50%
Copa Libertadores 1995,Primera fase[12]​,7,2,1,4,8,11,-3,7,"35,71%"
Copa Libertadores 1996,Semifinal[13]​,12,5,3,4,16,15,1,18,"54,17%"
Copa Libertadores 2000,Primera fase[14]​,6,2,2,2,10,10,0,8,50%
Copa Libertadores 2001,Primera fase[15]​,6,1,1,4,5,13,-8,4,25%
Copa Libertadores 2005,Octavo finalista[16]​,8,3,3,2,11,13,-2,12,"56,25%"
Copa Libertadores 2009,Octavo finalista[17]​,10,4,1,5,11,11,0,13,45%
Copa Libertadores 2010,Semifinal[18]​,12,5,5,2,18,15,3,20,"62,50%"
Copa Libertadores 2012,Semifinal[19]​,12,5,4,3,20,14,6,19,"52,7%"
Copa Libertadores 2013,Fase de grupos[20]​,6,3,0,3,7,9,-2,9,50%
Copa Libertadores 2014,Fase de gruposs[21]​,8,5,1,2,10,11,-1,16,65%
Copa Libertadores 2015,Fase de grupos[22]​,6,1,0,5,7,16,-9,3,"16,67%"
Copa Libertadores 2016,Primera fase[23]​,2,0,1,1,0,2,-2,1,25%
Copa Libertadores 2018,Fase de grupos[24]​,6,1,2,3,2,2,11,-9,"27,7%"
Copa Libertadores 2019,Fase 2[25]​,2,0,1,1,0,1,-1,1,25%
Copa Libertadores 2020,Fase 2[26]​,2,0,1,1,0,2,-2,1,25%
Copa Libertadores 2021,Fase 2 [27]​,2,0,1,1,1,3,-2,1,25%
