,source,target,info
0,"[-33.4569, -70.6483]","[43.3012, -1.9748]","Claudio Bravo a Real Sociedad (España), 2006"
1,"[-33.4569, -70.6483]","[46.0814, 13.1997]","Mauricio Isla a Udinese (Italia), 2008"
2,"[-33.4569, -70.6483]","[37.384, -5.9709]","Gary Medel a Sevilla FC (España), 2011"
3,"[-33.4569, -70.6483]","[52.5093, -1.9639]","Gonzalo Jara a West Brom (Inglaterra), 2009"
4,"[-33.4569, -70.6483]","[46.178, 6.1269]","Jean Beausejour a Servette FC (Suiza), 2004"
5,"[-33.4569, -70.6483]","[51.0383, 7.0022]","Arturo Vidal a Bayer Leverkusen (Alemania), 2007"
6,"[-33.4569, -70.6483]","[46.0814, 12.527]","Charles Aránguiz a Udinese (Italia), 2014"
7,"[-33.4569, -70.6483]","[47.5416, 7.6201]","Marcelo Díaz a FC Basilea (Suiza), 2012"
8,"[-33.4569, -70.6483]","[46.0814, 13.5997]","Alexis Sánchez a Udinese (Italia), 2008"
9,"[-33.4569, -70.6483]","[40.828, 14.193]","Eduardo Vargas a Nápoles (Italia), 2012"
10,"[-33.4569, -70.6483]","[42.7967, -1.6371]","Francisco Silva a CA Osasuna (España), 2013"
11,"[-33.4569, -70.6483]","[46.0814, 14.1997]","David Pizarro a Udinese (Italia), 2001"
12,"[-33.4569, -70.6483]","[40.3921, -3.6586]","Jorge Valdivia a Rayo Vallecano (España), 2004"
13,"[-33.4569, -70.6483]","[39.9439, -0.1031]","Matías Fernández a Villarreal CF (España), 2007"
14,"[-33.4569, -70.6483]","[45.4781, 9.124]","Mauricio Pinilla a Inter (Italia), 2003"
15,"[-33.4569, -70.6483]","[53.4631, -2.2913]","Ángelo Henríquez a Manchester United (Inglaterra), 2012"
16,"[-33.4569, -70.6483]","[52.2361, 6.8373]","Felipe Gutiérrez a FC Twente (Holanda), 2012"
17,"[-33.4569, -70.6483]","[46.0814, 12.1997]","Fabián Orellana a Udinese (Italia), 2009"
18,"[-33.4569, -70.6483]","[38.2671, -0.6627]","Enzo Roco a Elche CF (España), 2014"
19,"[-33.4569, -70.6483]","[53.4309, -2.9608]","Mark González a Liverpool (Inglaterra), 2005"
20,"[-33.4569, -70.6483]","[44.4922, 11.31]","Erick Pulgar a Bolonia (Italia), 2015"
21,"[-33.4569, -70.6483]","[51.1933, 3.1798]","Nicolás Castillo a Club Brujas (Bélgica), 2014"
22,"[-33.4569, -70.6483]","[51.0383, 7.5022]","Junior Fernandes a Bayer Leverkusen (Alemania), 2012"
23,"[-33.4569, -70.6483]","[41.1619, -8.5836]","Igor Lichnovsky a FC Porto (Portugal), 2014"
24,"[-33.4569, -70.6483]","[45.4354, 10.9685]","César Pinares a Chievo Verona (Italia), 2010"
25,"[-33.4569, -70.6483]","[37.153, -3.5956]","Francisco Sierralta a Granada CF (España), 2015"
26,"[-33.4569, -70.6483]","[37.384, -5.5709]","Bryan Rabello a Sevilla FC (España), 2013"
27,"[-33.4569, -70.6483]","[38.0927, 15.635]","Carlos Carmona a Reggina (Italia), 2008"
28,"[-33.4569, -70.6483]","[42.5622, 12.6352]","Luis Jiménez a Ternana (Italia), 2002"
29,"[-33.4569, -70.6483]","[41.1271, 1.2728]","Juan Delgado a Gimnastic (España), 2016"
30,"[-33.4569, -70.6483]","[41.6365, -0.9017]","Humberto Suazo a Real Zaragoza (España), 2010"
31,"[-33.4569, -70.6483]","[41.0848, 16.8401]","Jaime Valdés a Bari (Italia), 2000"
32,"[-33.4569, -70.6483]","[43.1063, 12.357]","Nicolas Córdova a Perugia (Italia), 2001"
